Customer ID,Age,Location,Subscription Status,Previous Purchases,Frequency of Purchases,Avg_no_of_yearly_purchases,Aggregate,Depandancy_Score,aggval,Value,Satisfaction_flag,RFM_Score,Customer_Segment
28,56,Kentucky,1,7,Every 3 Months,4,-1.12503104,70.9976503,-3.12503104,75.50741445,Good,213,About to Sleep
29,54,North Carolina,1,41,Every 3 Months,4,2.833250246,31.67427282,0.833250246,40.84612274,Good,255,At Risk
30,31,Wyoming,1,14,Weekly,57,0.405841949,55.78925755,-1.594158051,62.10209244,Good,422,Potential Loyalist
31,57,North Carolina,1,16,Monthly,12,-1.348708898,73.21976849,-3.348708898,77.4660836,Good,321,Promising
32,33,West Virginia,1,45,Monthly,12,2.685693689,33.14016718,0.685693689,42.13822416,Good,354,Loyal Customer
33,36,Kansas,1,37,Annually,1,1.337909057,46.52967641,-0.662090943,53.94030514,Good,143,At Risk
34,54,Colorado,1,45,Quarterly,3,0.71941289,52.67410034,-1.28058711,59.35626083,Average,152,Need Attention
35,36,North Dakota,1,38,Quarterly,3,2.472778362,35.25536546,0.472778362,44.00264958,Good,145,At Risk
36,54,Massachusetts,1,48,Bi-Weekly,114,3.614719399,23.91080068,1.614719399,34.00306933,Good,551,Loyal Customer
37,35,Illinois,1,44,Fortnightly,28,2.612049975,33.87177753,0.612049975,42.78309654,Good,354,Loyal Customer
38,35,Indiana,1,10,Weekly,57,0.002258165,59.79864353,-1.997741835,65.63613518,Average,412,Recent Customer
39,29,Florida,1,44,Every 3 Months,4,0.63407546,53.52188142,-1.36592454,60.103531,Poor,252,Need Attention
40,70,Arizona,1,18,Monthly,12,0.014285056,59.67916289,-1.985714944,65.53081988,Good,323,Promising
41,69,Louisiana,1,31,Quarterly,3,1.354807827,46.36179631,-0.645192173,53.7923285,Good,144,At Risk
42,67,Alaska,1,40,Annually,1,0.363274627,56.2121408,-1.636725373,62.47483966,Good,142,Need Attention
43,20,Tennessee,1,15,Annually,1,1.208361954,47.81665661,-0.791638046,55.07470404,Good,125,Need Attention
44,25,Ohio,1,19,Fortnightly,28,0.881380001,51.06504495,-1.118619999,57.93797121,Average,324,Promising
45,39,Kentucky,1,45,Weekly,57,2.763000365,32.37216729,0.763000365,41.4612765,Good,453,Loyal Customer
46,50,Tennessee,1,25,Annually,1,-1.435186888,74.07888042,-3.435186888,78.22334127,Average,131,Lost
47,57,California,1,45,Quarterly,3,0.930540538,50.57666168,-1.069459462,57.50748949,Average,152,Need Attention
48,55,Montana,1,36,Weekly,57,2.182184704,38.14225583,0.182184704,46.54727712,Good,443,Loyal Customer
49,42,Nevada,1,38,Monthly,12,1.187693388,48.02198761,-0.812306612,55.25569148,Average,343,Loyal Customer
50,68,New Jersey,1,34,Bi-Weekly,114,2.518867625,34.79749363,0.518867625,43.59906195,Good,541,Loyal Customer
51,49,Maryland,1,39,Bi-Weekly,114,2.780550561,32.19781561,0.780550561,41.30759555,Poor,541,Loyal Customer
52,59,Vermont,1,7,Quarterly,3,-1.02446935,69.99862446,-3.02446935,74.62683072,Good,113,Lost
53,42,Alaska,1,26,Weekly,57,0.05424871,59.28214566,-1.94575129,65.18087207,Average,431,Potential Loyalist
54,29,Mississippi,1,35,Weekly,57,0.846192019,51.41461847,-1.153807981,58.24610012,Average,441,Loyal Customer
55,47,New Mexico,1,35,Bi-Weekly,114,5.290528313,7.262548133,3.290528313,19.32859386,Good,545,Champion
56,40,South Carolina,1,49,Annually,1,0.521834993,54.63692957,-1.478165007,61.08638171,Average,151,Need Attention
57,41,Mississippi,1,46,Weekly,57,3.676737754,23.29468197,1.676737754,33.45999617,Good,454,Champion
58,21,West Virginia,1,17,Fortnightly,28,0.531798755,54.537945,-1.468201245,60.99913252,Good,323,Promising
59,69,Missouri,1,29,Monthly,12,0.522426668,54.63105161,-1.477573332,61.08120063,Good,333,Promising
60,63,Louisiana,1,4,Weekly,57,1.022565375,49.66244485,-0.977434625,56.70166002,Good,414,Recent Customer
61,50,Idaho,1,17,Weekly,57,0.149041521,58.3404305,-1.850958479,64.35080441,Good,422,Potential Loyalist
62,55,Texas,1,21,Every 3 Months,4,0.350850499,56.33556777,-1.649149501,62.58363342,Good,233,At Risk
63,30,Mississippi,1,31,Fortnightly,28,-0.314723829,62.94768769,-2.314723829,68.41183619,Average,341,Loyal Customer
64,33,Arizona,1,43,Weekly,57,3.722410534,22.84094767,1.722410534,33.06005553,Average,454,Champion
65,65,Alabama,1,18,Fortnightly,28,1.403310615,45.87994741,-0.596689385,53.36760646,Good,324,Promising
66,65,New Jersey,1,44,Every 3 Months,4,0.591849931,53.94136915,-1.408150069,60.47328527,Good,252,Need Attention
67,31,Pennsylvania,1,3,Every 3 Months,4,0.202631886,57.8080393,-1.797368114,63.88153224,Good,215,About to Sleep
68,45,Connecticut,1,49,Monthly,12,1.020226527,49.68568003,-0.979773473,56.7221405,Good,351,Loyal Customer
69,57,Utah,1,21,Every 3 Months,4,-0.57811115,65.56429786,-2.57811115,70.7182273,Average,232,Need Attention
70,48,Tennessee,1,5,Weekly,57,0.711762408,52.75010373,-1.288237592,59.42325344,Good,414,Recent Customer
71,22,Alabama,1,32,Every 3 Months,4,-0.534450363,65.13055163,-2.534450363,70.33590498,Good,241,Need Attention
72,36,Virginia,1,34,Annually,1,0.327943599,56.5631354,-1.672056401,62.78422118,Average,142,Need Attention
73,18,Georgia,1,21,Every 3 Months,4,-1.422621741,73.95405249,-3.422621741,78.11331264,Average,231,Need Attention
74,48,Hawaii,1,43,Bi-Weekly,114,5.464312939,5.536092141,3.464312939,17.80682237,Average,555,Champion
75,49,Indiana,1,3,Monthly,12,-1.108567987,70.8340988,-3.108567987,75.36325322,Good,313,Need Attention
76,64,Utah,1,21,Annually,1,0.990339805,49.9825884,-1.009660195,56.98384812,Average,135,At Risk
77,50,Delaware,1,32,Monthly,12,0.26562624,57.18222456,-1.73437376,63.32991261,Good,342,Loyal Customer
78,22,Delaware,1,36,Fortnightly,28,1.382627111,46.08542681,-0.617372889,53.54872471,Average,343,Loyal Customer
79,50,Nebraska,1,50,Fortnightly,28,3.956372418,20.51666326,1.956372418,31.01133274,Good,355,Loyal Customer
80,38,Iowa,1,43,Every 3 Months,4,3.056154903,29.45983596,1.056154903,38.89422423,Average,255,At Risk
81,19,New York,1,24,Every 3 Months,4,0.727433014,52.59442476,-1.272566986,59.28603139,Poor,234,At Risk
82,67,Virginia,1,36,Every 3 Months,4,2.571567311,34.27395084,0.571567311,43.13758914,Average,245,At Risk
83,19,Georgia,1,21,Every 3 Months,4,-1.338170681,73.11507702,-3.338170681,77.37380411,Good,231,Need Attention
84,36,Texas,1,34,Weekly,57,1.452573692,45.39054546,-0.547426308,52.93622683,Good,442,Loyal Customer
85,52,Arizona,1,42,Every 3 Months,4,0.284494215,56.99478147,-1.715505785,63.16469231,Good,251,Need Attention
86,53,New Mexico,1,2,Bi-Weekly,114,3.048269477,29.5381734,1.048269477,38.96327416,Good,515,Recent Customer
87,24,Nevada,1,47,Bi-Weekly,114,3.883296836,21.24262953,1.883296836,31.65123018,Average,552,Loyal Customer
88,52,Ohio,1,44,Fortnightly,28,1.936441502,40.58358123,-0.063558498,48.69916481,Average,353,Loyal Customer
89,33,Wyoming,1,35,Monthly,12,0.642208755,53.44108155,-1.357791245,60.03231058,Average,342,Loyal Customer
90,47,California,1,15,Quarterly,3,0.54275775,54.42907334,-1.45724225,60.90316842,Average,124,Need Attention
91,25,South Carolina,1,29,Monthly,12,0.269073491,57.147978,-1.730926509,63.29972623,Average,332,Promising
92,44,South Carolina,1,18,Every 3 Months,4,1.452161518,45.39464019,-0.547838482,52.9398361,Good,225,About to Sleep
93,61,Texas,1,13,Every 3 Months,4,0.599321169,53.86714645,-1.400678831,60.40786224,Good,225,About to Sleep
94,37,Florida,1,46,Weekly,57,3.212256929,27.90904701,1.212256929,37.52729311,Good,453,Loyal Customer
95,58,Nevada,1,28,Weekly,57,2.557331961,34.41537132,0.557331961,43.26224314,Good,434,Potential Loyalist
96,37,Missouri,1,48,Monthly,12,3.780110206,22.26773273,1.780110206,32.55479959,Average,355,Loyal Customer
97,32,Delaware,1,43,Every 3 Months,4,2.084967724,39.10805378,0.084967724,47.39857237,Poor,254,At Risk
98,21,Virginia,1,37,Annually,1,2.393547295,36.04248313,0.393547295,44.69644846,Good,145,At Risk
99,20,New York,1,20,Annually,1,0.161053475,58.22109826,-1.838946525,64.24561992,Average,123,Need Attention
100,26,Missouri,1,33,Quarterly,3,-0.026857638,60.08789324,-2.026857638,65.89109214,Average,142,Need Attention
101,62,South Dakota,1,31,Fortnightly,28,2.936641945,30.64713238,0.936641945,39.94075762,Average,345,Loyal Customer
102,27,North Dakota,1,50,Bi-Weekly,114,5.948900532,0.721977263,3.948900532,13.56345746,Good,555,Champion
103,51,Oklahoma,1,35,Quarterly,3,1.251685257,47.3862631,-0.748314743,54.69533695,Good,143,At Risk
104,54,West Virginia,1,22,Bi-Weekly,114,4.179452279,18.30048585,2.179452279,29.05790003,Good,535,Potential Loyalist
105,55,New Hampshire,1,1,Monthly,12,-2.682689589,86.47214306,-4.682689589,89.14728828,Good,311,Lost
106,69,New York,1,4,Annually,1,0.277965048,57.0596452,-1.722034952,63.22186596,Average,115,Need Attention
107,64,Minnesota,1,31,Monthly,12,-0.141404795,61.22585711,-2.141404795,66.89414173,Average,341,Loyal Customer
108,28,Maryland,1,46,Fortnightly,28,2.666052514,33.3352916,0.666052514,42.3102151,Average,353,Loyal Customer
109,70,Montana,1,32,Bi-Weekly,114,4.449464974,15.61805619,2.449464974,26.69349283,Average,544,Champion
110,58,Alabama,1,43,Fortnightly,28,3.218431648,27.84770453,1.218431648,37.47322325,Average,355,Loyal Customer
111,56,New York,1,26,Fortnightly,28,-0.449730176,64.28890252,-2.449730176,69.59403979,Good,331,Promising
112,26,Massachusetts,1,9,Annually,1,-0.262637078,62.43023407,-2.262637078,67.95573064,Good,114,Need Attention
113,37,Florida,1,28,Bi-Weekly,114,3.581400364,24.24180722,1.581400364,34.29483252,Good,533,Potential Loyalist
114,44,New Jersey,1,20,Quarterly,3,-0.335648612,63.15556406,-2.335648612,68.59506723,Average,123,Need Attention
115,70,Massachusetts,1,9,Weekly,57,2.044307842,39.51198766,0.044307842,47.75461681,Average,415,Recent Customer
116,53,Wyoming,1,48,Every 3 Months,4,3.317837839,26.86015794,1.317837839,36.60275783,Average,255,At Risk
117,55,Virginia,1,12,Annually,1,0.409524144,55.75267694,-1.590475856,62.06984874,Average,125,Need Attention
118,50,South Dakota,1,29,Fortnightly,28,0.011303398,59.70878404,-1.988696602,65.55692922,Good,331,Promising
119,50,Kentucky,1,27,Bi-Weekly,114,2.667662975,33.31929254,0.667662975,42.29611285,Good,532,Potential Loyalist
120,38,Wyoming,1,44,Annually,1,2.202526416,37.94017195,0.202526416,46.36915183,Good,154,At Risk
121,64,West Virginia,1,32,Annually,1,1.709609064,42.83703847,-0.290390936,50.68545753,Good,144,At Risk
122,19,Virginia,1,11,Fortnightly,28,0.454242198,55.30842733,-1.545757802,61.6782683,Good,324,Promising
123,40,Washington,1,44,Fortnightly,28,1.387509619,46.03692174,-0.612490381,53.50597028,Good,352,Loyal Customer
124,57,Louisiana,1,46,Weekly,57,4.352346227,16.58287827,2.352346227,27.5439279,Average,455,Champion
125,44,Nevada,1,50,Annually,1,3.040142505,29.61891046,1.040142505,39.03443923,Average,155,At Risk
126,49,California,1,45,Every 3 Months,4,1.421136261,45.70285929,-0.578863739,53.21151348,Average,253,At Risk
127,43,Mississippi,1,48,Every 3 Months,4,0.868757127,51.19044636,-1.131242873,58.04850532,Average,252,Need Attention
128,24,Mississippi,1,26,Weekly,57,2.967810247,30.3374922,0.967810247,39.66782764,Good,435,Potential Loyalist
129,20,California,1,21,Fortnightly,28,-0.542510994,65.21062962,-2.542510994,70.40648912,Good,331,Promising
130,24,Pennsylvania,1,49,Bi-Weekly,114,5.119614202,8.960487123,3.119614202,20.82522926,Good,553,Loyal Customer
131,44,Kentucky,1,13,Fortnightly,28,-0.800746679,67.77606107,-2.800746679,72.66776915,Average,322,Promising
132,28,Maine,1,46,Weekly,57,1.818814455,41.75214214,-0.181185545,49.72918393,Average,451,Loyal Customer
133,30,New Mexico,1,42,Weekly,57,2.766447615,32.33792072,0.766447615,41.43109013,Good,453,Loyal Customer
134,52,Montana,1,25,Annually,1,0.422736411,55.62142024,-1.577263589,61.95415352,Poor,133,At Risk
135,43,Texas,1,25,Monthly,12,1.934540653,40.60246514,-0.065459347,48.71580989,Good,335,Promising
136,43,Kansas,1,12,Quarterly,3,0.250626294,57.33124089,-1.749373706,63.46126191,Good,124,Need Attention
137,39,South Carolina,1,4,Quarterly,3,-0.09206045,60.73564781,-2.09206045,66.46205047,Average,115,Need Attention
138,68,Colorado,1,38,Weekly,57,1.856157477,41.38115948,-0.143842523,49.40218408,Good,442,Loyal Customer
139,68,Georgia,1,42,Weekly,57,1.541907259,44.50306493,-0.458092741,52.15396388,Good,451,Loyal Customer
140,49,Florida,1,30,Annually,1,2.035636291,39.59813481,0.035636291,47.83055057,Average,135,At Risk
141,63,North Carolina,1,50,Weekly,57,2.053496121,39.42070709,0.053496121,47.67415825,Average,451,Loyal Customer
142,56,Virginia,1,45,Weekly,57,2.467421658,35.30858141,0.467421658,44.04955637,Good,452,Loyal Customer
143,37,Nebraska,1,33,Fortnightly,28,1.386074361,46.05118024,-0.613925639,53.51853833,Average,343,Loyal Customer
144,30,Missouri,1,25,Quarterly,3,-0.242867794,62.23383696,-2.242867794,67.7826179,Average,132,Need Attention
145,19,New Jersey,1,25,Monthly,12,-0.218961353,61.99633944,-2.218961353,67.57327751,Average,332,Promising
146,24,Missouri,1,44,Quarterly,3,3.057041274,29.45103035,1.057041274,38.88646259,Good,155,At Risk
147,52,Colorado,1,21,Fortnightly,28,-0.626962053,66.04960508,-2.626962053,71.14599765,Good,331,Promising
148,63,Idaho,1,31,Fortnightly,28,1.500973941,44.90971525,-0.499026059,52.5124027,Average,343,Loyal Customer
149,37,Wyoming,1,47,Annually,1,3.001364226,30.00415163,1.001364226,39.37400713,Average,155,At Risk
150,38,Delaware,1,14,Monthly,12,0.412986333,55.71828197,-1.587013667,62.03953155,Average,324,Promising
151,35,California,1,17,Every 3 Months,4,1.25625813,47.34083408,-0.74374187,54.65529389,Good,225,About to Sleep
152,28,North Dakota,1,3,Annually,1,-1.860312698,78.30227473,-3.860312698,81.94602004,Good,112,Hibernating
153,30,South Carolina,1,42,Annually,1,2.444102583,35.54024377,0.444102583,44.2537534,Good,155,At Risk
154,69,North Carolina,1,22,Annually,1,-0.207199282,61.87948964,-2.207199282,67.47028115,Average,133,At Risk
155,41,Oklahoma,1,21,Quarterly,3,1.591501486,44.01037319,-0.408498514,51.71968449,Average,135,At Risk
156,63,Maine,1,21,Quarterly,3,0.704765366,52.81961554,-1.295234634,59.4845241,Good,134,At Risk
157,35,Missouri,1,40,Annually,1,-0.185657256,61.66548131,-2.185657256,67.28164513,Good,141,Need Attention
158,36,Vermont,1,1,Fortnightly,28,-0.40692791,63.86368523,-2.40692791,69.21923524,Average,313,Need Attention
159,25,Connecticut,1,50,Monthly,12,2.778474507,32.21844008,0.778474507,41.32577483,Good,354,Loyal Customer
160,58,New Hampshire,1,39,Every 3 Months,4,-0.13431383,61.15541221,-2.13431383,66.83204861,Average,241,Need Attention
161,27,Texas,1,34,Monthly,12,-0.440430753,64.19651779,-2.440430753,69.51260797,Good,341,Loyal Customer
162,65,North Dakota,1,29,Fortnightly,28,0.7291374,52.57749261,-1.2708626,59.27110668,Average,332,Promising
163,54,California,1,31,Bi-Weekly,114,4.169110527,18.40322555,2.169110527,29.14845915,Average,544,Champion
164,54,Virginia,1,8,Weekly,57,0.792766216,51.94537483,-1.207233784,58.71393128,Average,413,Recent Customer
165,59,Delaware,1,5,Fortnightly,28,-0.256697303,62.37122563,-2.256697303,67.9037181,Average,313,Need Attention
166,42,Kentucky,1,7,Monthly,12,-0.747209732,67.24420055,-2.747209732,72.19896474,Average,313,Need Attention
167,46,Delaware,1,30,Monthly,12,-0.379533712,63.59153873,-2.379533712,68.97935378,Good,331,Promising
168,33,Arkansas,1,14,Every 3 Months,4,-1.864983804,78.34867963,-3.864983804,81.98692328,Good,221,About to Sleep
169,34,Louisiana,1,5,Fortnightly,28,0.37668564,56.07890966,-1.62331436,62.35740409,Average,314,Need Attention
170,27,Nevada,1,3,Every 3 Months,4,-2.499802004,84.6552541,-4.499802004,87.54580534,Average,211,About to Sleep
171,52,Wyoming,1,46,Bi-Weekly,114,3.138461565,28.64216393,1.138461565,38.17349344,Average,551,Loyal Customer
172,29,Virginia,1,4,Weekly,57,-0.835357924,68.11990502,-2.835357924,72.97084778,Average,411,Recent Customer
173,54,Nebraska,1,42,Bi-Weekly,114,4.635026609,13.774602,2.635026609,25.06859417,Average,553,Loyal Customer
174,25,Hawaii,1,30,Annually,1,-0.033414656,60.15303365,-2.033414656,65.94850966,Average,132,Need Attention
175,41,Vermont,1,37,Annually,1,-0.013307888,59.95328382,-2.013307888,65.77244169,Average,141,Need Attention
176,53,Oklahoma,1,2,Annually,1,-0.282743846,62.62998391,-2.282743846,68.13179861,Average,115,Need Attention
177,53,New Hampshire,1,30,Quarterly,3,1.496708675,44.95208835,-0.503291325,52.54975215,Average,134,At Risk
178,21,Kansas,1,47,Monthly,12,1.261802695,47.28575184,-0.738197305,54.60674207,Average,352,Loyal Customer
179,61,Idaho,1,21,Quarterly,3,-0.730902637,67.08219841,-2.730902637,72.05616918,Good,132,Need Attention
180,64,Illinois,1,9,Fortnightly,28,-1.415458111,73.88288571,-3.415458111,78.05058323,Good,311,Lost
181,51,South Dakota,1,12,Fortnightly,28,0.903498762,50.84530706,-1.096501238,57.74428491,Average,324,Promising
182,32,Massachusetts,1,4,Weekly,57,0.262505843,57.21322401,-1.737494157,63.35723683,Good,413,Recent Customer
183,38,Alabama,1,10,Annually,1,0.693325841,52.93326102,-1.306674159,59.58469604,Average,115,Need Attention
184,58,Ohio,1,26,Weekly,57,0.434278476,55.50675608,-1.565721524,61.85308367,Average,431,Potential Loyalist
185,32,Hawaii,1,40,Fortnightly,28,0.815023716,51.72425865,-1.184976284,58.5190301,Average,341,Loyal Customer
186,46,Wisconsin,1,34,Fortnightly,28,0.357437393,56.27013056,-1.642562607,62.52595429,Good,341,Loyal Customer
187,39,Minnesota,1,31,Annually,1,0.458067439,55.27042564,-1.541932561,61.644772,Average,143,At Risk
188,19,Georgia,1,1,Bi-Weekly,114,2.936817149,30.64539183,0.936817149,39.93922342,Average,515,Recent Customer
189,50,Arkansas,1,5,Bi-Weekly,114,1.482477634,45.09346602,-0.517522366,52.67436842,Average,513,Recent Customer
190,36,West Virginia,1,4,Weekly,57,1.149241963,48.40398165,-0.850758037,55.59239722,Good,414,Recent Customer
191,65,Indiana,1,48,Quarterly,3,2.278310232,37.18730085,0.278310232,45.70553932,Average,154,At Risk
192,64,Utah,1,29,Every 3 Months,4,1.242469127,47.47782035,-0.757530873,54.77603939,Average,234,At Risk
193,46,Nebraska,1,12,Bi-Weekly,114,0.953652518,50.3470567,-1.046347482,57.30510593,Average,521,Potential Loyalist
194,36,North Dakota,1,29,Annually,1,2.17753714,38.18842685,0.17753714,46.58797422,Average,135,At Risk
195,51,Missouri,1,15,Quarterly,3,1.007238575,49.81470829,-0.992761425,56.83587148,Average,125,Need Attention
196,51,New York,1,34,Monthly,12,-0.355979694,63.35754233,-2.355979694,68.77309944,Good,341,Loyal Customer
197,38,Washington,1,41,Fortnightly,28,3.206654639,27.96470273,1.206654639,37.57635042,Average,355,Loyal Customer
198,59,South Carolina,1,41,Monthly,12,2.366560964,36.3105777,0.366560964,44.93275837,Average,354,Loyal Customer
199,57,Utah,1,39,Fortnightly,28,1.252503271,47.37813657,-0.747496729,54.68817388,Good,342,Loyal Customer
200,54,Idaho,1,32,Weekly,57,2.707562569,32.92291172,0.707562569,41.94672599,Average,444,Champion
201,25,Pennsylvania,1,29,Monthly,12,0.818005374,51.69463749,-1.181994626,58.49292076,Average,333,Promising
202,69,Missouri,1,15,Annually,1,-2.085229349,80.53669965,-4.085229349,83.91553687,Good,121,Hibernating
203,57,Nebraska,1,33,Annually,1,-0.163538495,61.44574341,-2.163538495,67.08795883,Average,142,Need Attention
204,70,Indiana,1,18,Weekly,57,0.26049385,57.23321207,-1.73950615,63.37485516,Average,422,Potential Loyalist
205,24,Arizona,1,35,Bi-Weekly,114,5.543881491,4.745621746,3.543881491,17.11006826,Good,545,Champion
206,67,Hawaii,1,25,Weekly,57,1.84294521,41.51241618,-0.15705479,49.5178793,Average,433,Potential Loyalist
207,24,Wisconsin,1,6,Fortnightly,28,-0.609725799,65.87837225,-2.609725799,70.99506578,Good,313,Need Attention
208,62,Rhode Island,1,17,Bi-Weekly,114,3.917769344,20.90016387,1.917769344,31.34936643,Average,525,Potential Loyalist
209,57,Wisconsin,1,17,Monthly,12,-0.983903392,69.59562367,-2.983903392,74.27160874,Good,322,Promising
210,55,Minnesota,1,44,Every 3 Months,4,3.167607232,28.35261754,1.167607232,37.91827498,Average,255,At Risk
211,45,Vermont,1,6,Fortnightly,28,-2.003168273,79.72146738,-4.003168273,83.1969566,Average,311,Lost
212,69,South Dakota,1,45,Fortnightly,28,3.652463953,23.53582902,1.652463953,33.67255341,Good,355,Loyal Customer
213,67,Virginia,1,7,Annually,1,-0.02106091,60.03030589,-2.02106091,65.8403322,Good,114,Need Attention
214,30,Nevada,1,11,Every 3 Months,4,0.714220748,52.72568146,-1.285779252,59.40172661,Good,225,About to Sleep
215,24,Hawaii,1,41,Every 3 Months,4,0.975326947,50.131733,-1.024673053,57.11531049,Good,252,Need Attention
216,62,New Jersey,1,24,Bi-Weekly,114,3.262267639,27.41221774,1.262267639,37.08936673,Average,533,Potential Loyalist
217,43,Massachusetts,1,21,Weekly,57,1.439361426,45.52180216,-0.560638574,53.05192205,Average,433,Potential Loyalist
218,35,Oklahoma,1,24,Annually,1,-0.36432439,63.44044237,-2.36432439,68.84617104,Average,132,Need Attention
219,28,California,1,8,Quarterly,3,-1.546399965,75.183722,-3.546399965,79.19719548,Average,112,Hibernating
220,32,Nevada,1,12,Fortnightly,28,1.199077469,47.90889294,-0.800922531,55.15600504,Average,325,Promising
221,39,Arizona,1,48,Fortnightly,28,2.382250816,36.15470752,0.382250816,44.79536779,Average,353,Loyal Customer
222,28,North Carolina,1,6,Quarterly,3,-0.713666384,66.91096558,-2.713666384,71.90523731,Good,113,Lost
223,47,New York,1,14,Fortnightly,28,1.590884244,44.01650515,-0.409115756,51.72508947,Good,325,Promising
224,20,Wyoming,1,34,Annually,1,0.032364893,59.49954952,-1.967635107,65.37250105,Good,142,Need Attention
225,63,South Dakota,1,12,Every 3 Months,4,0.361192252,56.23282807,-1.638807748,62.4930743,Average,224,About to Sleep
226,25,Arkansas,1,11,Annually,1,-2.362136544,83.28762244,-4.362136544,86.34031682,Average,121,Hibernating
227,29,Texas,1,5,Monthly,12,-0.294505917,62.74683371,-2.294505917,68.23479497,Average,314,Need Attention
228,50,Rhode Island,1,25,Fortnightly,28,2.183476915,38.12941841,0.183476915,46.53596168,Good,335,Promising
229,18,New Hampshire,1,11,Annually,1,0.044718638,59.37682176,-1.955281362,65.26432359,Average,124,Need Attention
230,70,Ohio,1,27,Every 3 Months,4,-0.922809888,68.98869284,-2.922809888,73.73663419,Good,231,Need Attention
231,66,Utah,1,43,Annually,1,2.640005971,33.59404988,0.640005971,42.53829561,Good,155,At Risk
232,28,Tennessee,1,18,Every 3 Months,4,-1.630302137,76.01724458,-3.630302137,79.9318976,Average,221,About to Sleep
233,54,Hawaii,1,32,Bi-Weekly,114,2.253737438,37.43141822,0.253737438,45.92071472,Good,541,Loyal Customer
234,19,Arizona,1,27,Every 3 Months,4,1.399594236,45.91686762,-0.600405764,53.40014949,Good,234,At Risk
235,20,South Dakota,1,24,Weekly,57,0.718080173,52.68734016,-1.281919827,59.36793097,Average,432,Potential Loyalist
236,43,New Jersey,1,31,Quarterly,3,1.90373971,40.9084558,-0.09626029,48.98552302,Average,145,At Risk
237,38,North Dakota,1,39,Fortnightly,28,2.22369045,37.72991875,0.22369045,46.18382574,Average,343,Loyal Customer
238,50,Iowa,1,36,Fortnightly,28,2.944971703,30.56438075,0.944971703,39.86781682,Average,345,Loyal Customer
239,64,Ohio,1,5,Annually,1,-2.270790984,82.38015385,-4.270790984,85.54043554,Good,111,Hibernating
