,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Avg_no_of_yearly_purchases,Aggregate,Depandancy_Score,aggval,Value,Satisfaction_flag,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
24,25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,1,Store Pickup,1,1,16.0,Debit Card,Weekly,57.0,-0.5535682205191705,65.3204771683677,-2.5535682205191703,70.50331340694139,Average,4,2,1,421,Potential Loyalist
25,26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,1,Express,1,1,14.0,PayPal,Annually,1.0,-2.0277795590093075,79.96596715561822,-4.027779559009307,83.41246905797452,Average,1,2,1,121,Hibernating
26,27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,1,Next Day Air,1,1,13.0,Credit Card,Annually,1.0,-2.3081340055960684,82.75113650899789,-4.308134005596068,85.86743538061481,Average,1,2,1,121,Hibernating
27,28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,1,Next Day Air,1,1,7.0,Bank Transfer,Every 3 Months,4.0,-1.1250310402970725,70.99765030265857,-3.1250310402970722,75.5074144450237,Good,2,1,3,213,About to Sleep
28,29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,1,Free Shipping,1,1,41.0,PayPal,Every 3 Months,4.0,2.833250246420991,31.674272820890337,0.8332502464209912,40.84612273826678,Good,2,5,5,255,At Risk
29,30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,1,Store Pickup,1,1,14.0,Credit Card,Weekly,57.0,0.4058419491887113,55.789257547906814,-1.5941580508112887,62.102092435036596,Good,4,2,2,422,Potential Loyalist
30,31,57,Male,Jewelry,Accessories,31.000000000000004,North Carolina,L,Black,Winter,4.7,1,Standard,1,1,16.0,Credit Card,Monthly,12.0,-1.3487088978536492,73.21976848726676,-3.3487088978536494,77.46608360154016,Good,3,2,1,321,Promising
31,32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,1,Store Pickup,1,1,45.0,Venmo,Monthly,12.0,2.685693689287529,33.14016717648835,0.6856936892875289,42.13822415794336,Good,3,5,4,354,Loyal Customer
32,33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,1,Free Shipping,1,1,37.0,Venmo,Annually,1.0,1.3379090571989072,46.52967641363771,-0.6620909428010928,53.94030513876257,Good,1,4,3,143,At Risk
33,34,54,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,1,Store Pickup,1,1,45.0,Cash,Quarterly,3.0,0.719412890172742,52.67410034040778,-1.280587109827258,59.356260830627946,Average,1,5,2,152,Need Attention
34,35,36,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,1,2-Day Shipping,1,1,38.0,PayPal,Quarterly,3.0,2.472778362219957,35.25536545863828,0.47277836221995706,44.00264958043465,Good,1,4,5,145,At Risk
35,36,54,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,1,2-Day Shipping,1,1,48.0,Credit Card,Bi-Weekly,114.0,3.614719398978603,23.91080068476539,1.614719398978603,34.003069328313195,Good,5,5,1,551,Loyal Customer
36,37,35,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,1,Free Shipping,1,1,44.0,PayPal,Fortnightly,28.0,2.612049974831179,33.87177753284271,0.6120499748311792,42.78309653669669,Good,3,5,4,354,Loyal Customer
37,38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,1,Store Pickup,1,1,10.0,PayPal,Weekly,57.0,0.002258164757885206,59.79864352912709,-1.9977418352421148,65.63613518414911,Average,4,1,2,412,Recent Customer
38,39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,,1,2-Day Shipping,1,1,44.0,Venmo,Every 3 Months,4.0,0.6340754604184662,53.521881415191785,-1.3659245395815338,60.10353100471665,Poor,2,5,2,252,Need Attention
39,40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,1,Express,1,1,18.0,Credit Card,Monthly,12.0,0.014285056285058495,59.67916288558559,-1.9857149437149415,65.53081988052286,Good,3,2,3,323,Promising
40,41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,1,Next Day Air,1,1,31.0,Debit Card,Quarterly,3.0,1.3548078266022983,46.36179630606258,-0.6451921733977017,53.792328496035935,Good,1,4,4,144,At Risk
41,42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,1,Standard,1,1,40.0,Venmo,Annually,1.0,0.3632746274064024,56.21214079990063,-1.6367253725935975,62.47483965803532,Good,1,4,2,142,Need Attention
42,43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,1,Free Shipping,1,1,15.0,PayPal,Annually,1.0,1.2083619542912953,47.81665661042137,-0.7916380457087047,55.07470403525156,Good,1,2,5,125,Need Attention
43,44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,1,Store Pickup,1,1,19.0,PayPal,Fortnightly,28.0,0.8813800007225817,51.065044953375526,-1.1186199992774184,57.937971209699256,Average,3,2,4,324,Promising
44,45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,1,Free Shipping,1,1,45.0,PayPal,Weekly,57.0,2.763000364705789,32.37216728988774,0.763000364705789,41.46127650479323,Good,4,5,3,453,Loyal Customer
45,46,50,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,1,2-Day Shipping,1,1,25.0,PayPal,Annually,1.0,-1.4351868884994583,74.07888041583045,-3.4351868884994583,78.22334127042954,Average,1,3,1,131,Lost
46,47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,1,Store Pickup,1,1,45.0,Cash,Quarterly,3.0,0.9305405377951591,50.57666168384941,-1.0694594622048408,57.50748949490776,Average,1,5,2,152,Need Attention
47,48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,1,Free Shipping,1,1,36.0,Cash,Weekly,57.0,2.1821847035511777,38.14225582996789,0.18218470355117766,46.547277119930115,Good,4,4,3,443,Loyal Customer
48,49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,1,Store Pickup,1,1,38.0,Cash,Monthly,12.0,1.1876933879495193,48.021987605717705,-0.8123066120504807,55.255691477841,Average,3,4,3,343,Loyal Customer
49,50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,1,Next Day Air,1,1,34.0,Debit Card,Bi-Weekly,114.0,2.5188676249043382,34.79749363419879,0.5188676249043382,43.59906194662674,Good,5,4,1,541,Loyal Customer
50,51,49,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,,1,Store Pickup,1,1,39.0,Debit Card,Bi-Weekly,114.0,2.7805505606770904,32.19781561271558,0.7805505606770904,41.30759554631431,Poor,5,4,1,541,Loyal Customer
51,52,59,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,1,2-Day Shipping,1,1,7.0,Credit Card,Quarterly,3.0,-1.0244693504581739,69.99862446207253,-3.024469350458174,74.62683072356704,Good,1,1,3,113,Lost
52,53,42,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,1,Free Shipping,1,1,26.0,Credit Card,Weekly,57.0,0.05424871007530152,59.28214566277791,-1.9457512899246985,65.18087207202844,Average,4,3,1,431,Potential Loyalist
53,54,29,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,1,Next Day Air,1,1,35.0,Credit Card,Weekly,57.0,0.8461920188523303,51.414618466139395,-1.1538079811476698,58.24610012117136,Average,4,4,1,441,Loyal Customer
54,55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,1,Next Day Air,1,1,35.0,Debit Card,Bi-Weekly,114.0,5.2905283134356225,7.26254813343038,3.2905283134356225,19.3285938624882,Good,5,4,5,545,Champion
55,56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,1,2-Day Shipping,1,1,49.0,Credit Card,Annually,1.0,0.5218349933161793,54.63692957293722,-1.4781650066838208,61.08638171433882,Average,1,5,1,151,Need Attention
56,57,41,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,1,Store Pickup,1,1,46.0,Credit Card,Weekly,57.0,3.6767377541598023,23.294681966832957,1.6767377541598023,33.45999617499237,Good,4,5,4,454,Champion
57,58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,1,Store Pickup,1,1,17.0,Debit Card,Fortnightly,28.0,0.5317987551714767,54.537945003576525,-1.4682012448285233,60.999132519259646,Good,3,2,3,323,Promising
58,59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,1,Free Shipping,1,1,29.0,Venmo,Monthly,12.0,0.5224266677459406,54.63105160842119,-1.4775733322540594,61.08120062726595,Good,3,3,3,333,Promising
59,60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,1,Standard,1,1,4.0,Debit Card,Weekly,57.0,1.0225653748042594,49.66244484545806,-0.9774346251957406,56.70166002277244,Good,4,1,4,414,Recent Customer
60,61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,1,Express,1,1,17.0,Cash,Weekly,57.0,0.14904152131242498,58.34043050187129,-1.850958478687575,64.35080441286071,Good,4,2,2,422,Potential Loyalist
61,62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,1,Store Pickup,1,1,21.0,Credit Card,Every 3 Months,4.0,0.35085049949754366,56.3355677714201,-1.6491495005024563,62.58363342241382,Good,2,3,3,233,At Risk
62,63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,1,Free Shipping,1,1,31.0,Credit Card,Fortnightly,28.0,-0.3147238288804971,62.947687694480116,-2.314723828880497,68.41183618957186,Average,3,4,1,341,Loyal Customer
63,64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,1,2-Day Shipping,1,1,43.0,Credit Card,Weekly,57.0,3.7224105344136715,22.840947669426853,1.7224105344136715,33.06005553288844,Average,4,5,4,454,Champion
64,65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,1,Standard,1,1,18.0,Debit Card,Fortnightly,28.0,1.403310615101006,45.87994741183342,-0.596689384898994,53.36760645660282,Good,3,2,4,324,Promising
65,66,65,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,1,2-Day Shipping,1,1,44.0,Venmo,Every 3 Months,4.0,0.5918499308939826,53.94136914650346,-1.4081500691060174,60.47328527186069,Good,2,5,2,252,Need Attention
66,67,31,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,1,2-Day Shipping,1,1,3.0,Venmo,Every 3 Months,4.0,0.20263188577592306,57.80803930010023,-1.797368114224077,63.881532241230666,Good,2,1,5,215,About to Sleep
67,68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,1,Store Pickup,1,1,49.0,Debit Card,Monthly,12.0,1.0202265270186661,49.68568002954007,-0.9797734729813339,56.722140498888706,Good,3,5,1,351,Loyal Customer
68,69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,1,Next Day Air,1,1,21.0,Cash,Every 3 Months,4.0,-0.5781111500410923,65.56429786027694,-2.5781111500410923,70.71822729958267,Average,2,3,2,232,Need Attention
69,70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,1,Express,1,1,5.0,Cash,Weekly,57.0,0.7117624080482521,52.75010373044181,-1.288237591951748,59.42325344014867,Good,4,1,4,414,Recent Customer
70,71,22,Male,Belt,Accessories,29.000000000000004,Alabama,M,Magenta,Fall,4.2,1,Express,1,1,32.0,Debit Card,Every 3 Months,4.0,-0.5344503633495281,65.13055162754094,-2.534450363349528,70.33590498491019,Good,2,4,1,241,Need Attention
71,72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,1,Express,1,1,34.0,Bank Transfer,Annually,1.0,0.32794359934068995,56.563135399023444,-1.6720564006593102,62.78422117525959,Average,1,4,2,142,Need Attention
72,73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,1,Store Pickup,1,1,21.0,Bank Transfer,Every 3 Months,4.0,-1.4226217405307613,73.9540524865104,-3.4226217405307615,78.11331264246341,Average,2,3,1,231,Need Attention
73,74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,1,Free Shipping,1,1,43.0,Bank Transfer,Bi-Weekly,114.0,5.464312939430023,5.536092140664931,3.464312939430023,17.80682237142372,Average,5,5,5,555,Champion
74,75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,1,Express,1,1,3.0,Cash,Monthly,12.0,-1.108567987229067,70.83409880052865,-3.1085679872290672,75.36325321861246,Good,3,1,3,313,Need Attention
75,76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,1,Free Shipping,1,1,21.0,Credit Card,Annually,1.0,0.990339805210107,49.9825883991686,-1.0096601947898929,56.98384812089151,Average,1,3,5,135,At Risk
76,77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,1,Free Shipping,1,1,32.0,Venmo,Monthly,12.0,0.2656262398696543,57.18222456238566,-1.7343737601303457,63.329912605090065,Good,3,4,2,342,Loyal Customer
77,78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,1,Next Day Air,1,1,36.0,Debit Card,Fortnightly,28.0,1.3826271107246928,46.08542680839999,-0.6173728892753072,53.548724706362115,Average,3,4,3,343,Loyal Customer
78,79,50,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,1,Free Shipping,1,1,50.0,Venmo,Fortnightly,28.0,3.956372418155878,20.516663263058017,1.956372418155878,31.011332738007248,Good,3,5,5,355,Loyal Customer
79,80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,1,2-Day Shipping,1,1,43.0,Bank Transfer,Every 3 Months,4.0,3.056154903398646,29.459835964624364,1.056154903398646,38.894224230138505,Average,2,5,5,255,At Risk
80,81,19,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,,1,Store Pickup,1,1,24.0,Credit Card,Every 3 Months,4.0,0.727433014488509,52.59442475570948,-1.272566985511491,59.28603139307735,Poor,2,3,4,234,At Risk
81,82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,1,Express,1,1,36.0,Credit Card,Every 3 Months,4.0,2.5715673106482386,34.27395084237356,0.5715673106482386,43.137589138579216,Average,2,4,5,245,At Risk
82,83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,1,2-Day Shipping,1,1,21.0,Credit Card,Every 3 Months,4.0,-1.3381706814817944,73.11507702388705,-3.3381706814817944,77.37380410817535,Good,2,3,1,231,Need Attention
83,84,36,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,1,Standard,1,1,34.0,Bank Transfer,Weekly,57.0,1.4525736922797217,45.39054546197394,-0.5474263077202783,52.93622683378685,Good,4,4,2,442,Loyal Customer
84,85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,1,Standard,1,1,42.0,Bank Transfer,Every 3 Months,4.0,0.28449421486736104,56.994781465392784,-1.715505785132639,63.16469231427705,Good,2,5,1,251,Need Attention
85,86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,1,Next Day Air,1,1,2.0,Debit Card,Bi-Weekly,114.0,3.0482694771367576,29.538173397222035,1.0482694771367576,38.96327416370753,Good,5,1,5,515,Recent Customer
86,87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,1,2-Day Shipping,1,1,47.0,Cash,Bi-Weekly,114.0,3.8832968362101266,21.242629531093314,1.8832968362101266,31.65123017808099,Average,5,5,2,552,Loyal Customer
87,88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,1,2-Day Shipping,1,1,44.0,Debit Card,Fortnightly,28.0,1.9364415024394437,40.583581233829484,-0.06355849756055632,48.69916481100131,Average,3,5,3,353,Loyal Customer
88,89,33,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,1,Free Shipping,1,1,35.0,Credit Card,Monthly,12.0,0.6422087548606199,53.44108154667503,-1.35779124513938,60.0323105757536,Average,3,4,2,342,Loyal Customer
89,90,47,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,1,Next Day Air,1,1,15.0,Cash,Quarterly,3.0,0.5427577498441801,54.42907333602186,-1.45724225015582,60.90316841674931,Average,1,2,4,124,Need Attention
90,91,25,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,1,Express,1,1,29.0,Credit Card,Monthly,12.0,0.26907349059903996,57.14797799629123,-1.73092650940096,63.29972623013018,Average,3,3,2,332,Promising
91,92,44,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,1,Standard,1,1,18.0,Credit Card,Every 3 Months,4.0,1.452161517863499,45.394640191222166,-0.547838482136501,52.939836101708934,Good,2,2,5,225,About to Sleep
92,93,61,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,1,2-Day Shipping,1,1,13.0,Venmo,Every 3 Months,4.0,0.599321168747978,53.86714645106881,-1.400678831252022,60.407862242037915,Good,2,2,5,225,About to Sleep
93,94,37,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,1,Standard,1,1,46.0,Credit Card,Weekly,57.0,3.2122569293904846,27.90904701126136,1.2122569293904846,37.52729311357678,Good,4,5,3,453,Loyal Customer
94,95,58,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,1,Free Shipping,1,1,28.0,Credit Card,Weekly,57.0,2.5573319613750627,34.41537131568157,0.5573319613750627,43.262243138122095,Good,4,3,4,434,Potential Loyalist
95,96,37,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,1,Free Shipping,1,1,48.0,PayPal,Monthly,12.0,3.7801102061947134,22.267732728479263,1.7801102061947134,32.55479958715826,Average,3,5,5,355,Loyal Customer
96,97,32,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,,1,Express,1,1,43.0,Venmo,Every 3 Months,4.0,2.0849677243355265,39.10805378479286,0.08496772433552646,47.398572374451376,Poor,2,5,4,254,At Risk
97,98,21,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,1,Store Pickup,1,1,37.0,Cash,Annually,1.0,2.3935472953109937,36.04248313084587,0.39354729531099375,44.696448460161605,Good,1,4,5,145,At Risk
98,99,20,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,1,Next Day Air,1,1,20.0,Bank Transfer,Annually,1.0,0.16105347480506094,58.22109825960003,-1.838946525194939,64.2456199164043,Average,1,2,3,123,Need Attention
99,100,26,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,1,Express,1,1,33.0,Debit Card,Quarterly,3.0,-0.0268576383504181,60.0878932396402,-2.026857638350418,65.8910921393811,Average,1,4,2,142,Need Attention
100,101,62,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,1,Express,1,1,31.0,Cash,Fortnightly,28.0,2.9366419445047285,30.647132383481246,0.9366419445047285,39.94075761948091,Average,3,4,5,345,Loyal Customer
101,102,27,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,1,Express,1,1,50.0,Credit Card,Bi-Weekly,114.0,5.94890053218043,0.7219772629157484,3.9489005321804296,13.563457462983013,Good,5,5,5,555,Champion
102,103,51,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,1,Next Day Air,1,1,35.0,Credit Card,Quarterly,3.0,1.2516852567393228,47.38626310058239,-0.7483147432606772,54.695336952651864,Good,1,4,3,143,At Risk
103,104,54,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,4.0,1,Next Day Air,1,1,22.0,Venmo,Bi-Weekly,114.0,4.179452279276735,18.300485848665815,2.1794522792767346,29.05790002816972,Good,5,3,5,535,Potential Loyalist
104,105,55,Male,Sunglasses,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,1,2-Day Shipping,1,1,1.0,PayPal,Monthly,12.0,-2.6826895889901916,86.47214305876817,-4.682689588990192,89.14728827534995,Good,3,1,1,311,Lost
105,106,69,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,1,Next Day Air,1,1,4.0,Bank Transfer,Annually,1.0,0.2779650475855787,57.05964520070251,-1.7220349524144214,63.22186595994883,Average,1,1,5,115,Need Attention
106,107,64,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,1,Standard,1,1,31.0,Credit Card,Monthly,12.0,-0.14140479529055705,61.225857109700364,-2.141404795290557,66.89414172916247,Average,3,4,1,341,Loyal Customer
